words,ebay_trend,arima_trend,lstm_trend,sarima_trend,tes_trend,ma_trend
ar_أورخان_غازي,True,False,False,True,False,False
ar_أوشن_14,True,False,False,True,False,False
ar_أوضاع_جنسية,False,False,False,False,False,False
ar_أوغندا,False,False,False,False,False,False
ar_أولو_العزم,False,False,True,True,False,True
ar_أيض,False,False,False,False,False,False
ar_أيمن_الظواهري,False,False,True,False,False,False
ar_أيمن_زيدان,False,False,True,False,False,False
ar_أيون,True,False,False,False,False,False
ar_إباضية,False,False,False,False,False,False
ar_إبراهيم,False,False,True,False,False,False
ar_إبراهيم_الأول,False,False,False,False,False,False
ar_إبراهيم_الفقي,False,False,False,False,False,False
ar_إبراهيم_عيسى,False,False,False,False,False,False
ar_إثيوبيا,True,False,False,True,False,False
ar_إحصاء,False,False,False,False,False,False
ar_إريتريا,False,False,False,True,False,False
ar_إستراتيجيات_التعليم,False,False,False,False,False,False
ar_إستراتيجية,False,False,True,False,False,False
ar_إستروجين,False,False,False,False,False,False
ar_إسحاق,False,False,False,False,False,False
ar_إسحاق_نيوتن,True,False,True,False,False,False
ar_إسطنبول,False,False,False,False,False,False
ar_إسعاد_يونس,False,False,False,False,False,False
ar_إسقاط_نجمي,False,False,False,False,False,False
ar_إسكندنافيا,False,False,False,True,True,False
ar_إسلام,False,False,False,False,False,False
ar_إسماعيل_ياسين,True,False,False,False,False,False
ar_إسماعيلية,False,False,False,False,False,False
ar_إعلام,False,False,True,False,False,False
ar_إعلان,False,False,True,True,False,False
ar_إكس_فيديوز,False,False,True,False,False,False
ar_إكس_لارج_(فيلم),False,True,False,False,False,False
ar_إلحاد,False,False,False,False,False,False
ar_إلكترون,False,False,False,False,False,False
ar_إلهام_شاهين,False,False,False,False,False,False
ar_إليزابيث_الأولى_ملكة_إنجلترا,False,False,True,True,False,False
ar_إليزابيث_الثانية,False,False,False,False,False,False
ar_إمبراطورية_المغول,True,False,False,True,False,False
ar_إميليا_كلارك,False,False,False,False,False,False
ar_إمينيم,False,False,False,True,False,False
ar_إن_وأخواتها,True,False,False,True,True,True
ar_إنترنت_الأشياء,False,False,False,False,False,False
ar_إندونيسيا,True,True,False,False,False,False
ar_إنسولين,False,False,False,False,False,False
ar_إنفلونزا,False,False,False,False,False,False
ar_إنكشارية,False,False,False,True,False,False
ar_إيالة_الجزائر,True,False,False,True,False,False
ar_إيثانول,False,False,False,False,False,False
ar_إيدز,False,False,True,False,False,False
ar_إيذاء_النفس,False,False,False,False,False,False
ar_إيران,False,False,False,True,False,False
ar_إيزيل,True,False,False,True,False,False
ar_إيطاليا,False,False,False,False,False,False
ar_إيليا,False,False,False,False,False,False
ar_إيما_ستون,False,False,False,False,False,False
ar_إيمي_سمير_غانم,False,False,False,False,False,False
ar_إيه_سي_ميلان,True,False,False,False,False,False
ar_ا,False,False,False,False,False,False
ar_ابن_الهيثم,True,False,True,False,False,False
ar_ابن_حجر_العسقلاني,False,False,False,False,False,False
ar_ابن_حزم_الأندلسي,True,False,False,False,False,False
ar_ابن_سينا,False,False,True,True,False,False
ar_ابن_كثير_الدمشقي,False,False,False,False,False,False
ar_ابيضاض_الدم,True,False,False,False,False,False
ar_اتفاقية_سايكس_بيكو,False,False,False,False,False,False
ar_استمناء,False,False,True,False,False,False
ar_اسكتلندا,False,False,False,True,False,False
ar_اسم_إشارة,False,False,True,False,False,False
ar_اضطراب_الشخصية,False,False,False,True,False,True
ar_اضطراب_نفسي,False,False,False,False,False,False
ar_اغتصاب,False,False,True,False,False,False
ar_اقتصاد_(علم),False,False,False,False,False,False
ar_اقتصاد_الجزائر,True,False,True,False,False,False
ar_الأئمة_الأربعة,False,False,False,False,False,False
ar_الأئمة_الاثنا_عشر,False,False,False,False,False,False
